"";"baseMean";"log2FoldChange";"lfcSE";"stat";"pvalue";"padj"
"ENSMUSG00000022096";1556,28016406667;1,33043657178908;0,318391301003941;4,17862098491381;2,93281969477017e-05;0,00189436859129342
"ENSMUSG00000072487";19,7885131066311;1,60635844681232;0,461946097368409;3,47737204830463;0,000506354663352472;0,0111019771599864
"ENSMUSG00000042622";128,010501412071;2,3647660006474;0,445507347565846;5,30802917969357;1,10816904745044e-07;2,97095426120202e-05
"ENSMUSG00000022622";57,4435717557956;1,46797516935934;0,356760871876632;4,11473142118279;3,87630489710158e-05;0,00222291176983787
"ENSMUSG00000047034";16,1940587447279;1,38120840492062;0,48154800392726;2,86826732466169;0,00412726646625474;0,0410184008476167
"ENSMUSG00000060284";52,3790982192463;-1,10606724482012;0,340560947907598;-3,24778061494069;0,00116308911534087;0,0192334301409913
"ENSMUSG00000071637";190,024297027506;1,26887862145968;0,402182240731397;3,15498421599157;0,00160506788556415;0,023347865535377
"ENSMUSG00000022766";278,805997509934;-2,05075096256148;0,332965951680402;-6,15904104372179;7,3186758641821e-10;7,27476380899701e-07
"ENSMUSG00000116780";11,3338787526614;1,82815556718333;0,613634036170751;2,97922777978799;0,00288975872789609;0,0330266450965454
"ENSMUSG00000043747";19,5502915212875;1,89058830375059;0,654809603480158;2,88723362287688;0,00388645537072889;0,0394909232125285
"ENSMUSG00000024175";48,2742228523538;1,26977304965581;0,36927276325463;3,43857759360455;0,000584778921893175;0,0118722183490521
"ENSMUSG00000024190";404,476967742013;1,00828384991245;0,141916807483518;7,10475290271416;1,20538003277283e-12;3,08095136376736e-09
"ENSMUSG00000024215";28,4623439126273;1,45540914777252;0,474339260824834;3,06828733772045;0,00215289500925312;0,0279532637921313
"ENSMUSG00000024222";1226,96776101702;1,4221537854403;0,226821499997584;6,26992496502951;3,61222133079729e-10;4,23891539926068e-07
"ENSMUSG00000023067";2259,28236794958;2,25283349611184;0,512195006726316;4,39839019616919;1,09056778304411e-05;0,000988378662274194
"ENSMUSG00000024300";75,9296959219284;-1,07155834948629;0,302988771517204;-3,5366272621936;0,000405271194276482;0,00975923581156772
"ENSMUSG00000057246";116,90419801958;1,17307031140815;0,191773789323225;6,11694807485397;9,53844291918316e-10;8,53309103550125e-07
"ENSMUSG00000013766";27,4036891793702;-1,49186649462538;0,378289678004601;-3,94371451659655;8,02291592716589e-05;0,00353952552850324
"ENSMUSG00000043807";13,7904363858384;2,01763754725595;0,573434905905276;3,51851191212493;0,000433974332098824;0,0102166694077792
"ENSMUSG00000053835";31,7858220357755;-1,40404865568091;0,412088244408213;-3,40715532348471;0,000656437595747187;0,0127801756943511
"ENSMUSG00000002769";53,5226442140214;1,08393411573288;0,31730231337395;3,41609269786644;0,000635266179264536;0,0125178221138778
"ENSMUSG00000011305";28,5384876529104;1,89574224890553;0,424077447429603;4,47027367382045;7,81195717840677e-06;0,000790806110197833
"ENSMUSG00000002831";2183,99778946168;2,94961857414733;0,473638348115473;6,22757550329987;4,7370846867896e-10;4,98564230682585e-07
"ENSMUSG00000039481";63,7375956258201;1,13761944081192;0,302978860119686;3,75478157242564;0,000173492710419701;0,00571663273449225
"ENSMUSG00000024131";16,5203608475303;1,21470151226704;0,426287733041671;2,84948737229626;0,00437897440055239;0,042573296979785
"ENSMUSG00000024430";56,8921020010855;1,51415664586666;0,337396812546712;4,48776215293093;7,19752184010462e-06;0,000753088074638314
"ENSMUSG00000044176";115,698083821226;-1,23954971683561;0,307199770607212;-4,03499558084146;5,46033252638559e-05;0,00275978162604777
"ENSMUSG00000045664";546,115412270501;-1,00920864615427;0,214061566797235;-4,71457189281539;2,42219472781026e-06;0,000359260636389803
"ENSMUSG00000032773";36,034640759047;1,0015457979439;0,348826442788769;2,87118657042404;0,00408934090208319;0,0408979806708063
"ENSMUSG00000024810";2798,11754266938;-1,04458076850645;0,313037059095045;-3,33692365857963;0,00084711212879121;0,0154343484809902
"ENSMUSG00000049134";104,588813457273;1,08774437828372;0,26361700384904;4,12622995634459;3,68758550159731e-05;0,00215851623481174
"ENSMUSG00000026669";95,0630659378715;1,24819019273993;0,389534357059867;3,20431348382473;0,0013538497840992;0,0211931370206406
"ENSMUSG00000026774";10,6450942214312;2,25084962131398;0,796085455247398;2,82739699171428;0,00469281105351583;0,0442311766098555
"ENSMUSG00000036587";28,748569823642;1,28157523024584;0,412191814198202;3,10917195854259;0,00187612491742453;0,0256829587012698
"ENSMUSG00000015090";15541,9901173155;1,21455798006388;0,300533168331304;4,04134421104885;5,31456824031053e-05;0,00270137087942148
"ENSMUSG00000026785";25,9873626024742;-1,14545276420689;0,354946363267602;-3,22711508764864;0,00125045154250268;0,0200655417026529
"ENSMUSG00000079484";804,862285498638;1,21370073727995;0,214532375003969;5,65742460669393;1,53661280129728e-08;7,1184574962189e-06
"ENSMUSG00000026822";219,55384400513;2,46262100365066;0,839617484333909;2,93302730064551;0,00335674373862047;0,0362789571385676
"ENSMUSG00000001815";18,0411935338515;1,13060724992981;0,406229470730661;2,78317387435298;0,00538299494970332;0,0478215221648917
"ENSMUSG00000050211";286,149333958159;1,17113265745285;0,220328261083416;5,31539917618405;1,06423764576119e-07;2,97095426120202e-05
"ENSMUSG00000027360";61,2122381761554;1,21766489019888;0,334699400775235;3,63808506193471;0,000274672715291474;0,00771074757949954
"ENSMUSG00000032715";18,936283379604;2,05732004353491;0,738751092241113;2,78486226977171;0,0053550464076117;0,0477378334622827
"ENSMUSG00000017697";84,5446760063086;1,52806201545737;0,322500207295924;4,73817374652176;2,15652878689519e-06;0,000341456752700254
"ENSMUSG00000027525";2620,99851429189;1,00024540665259;0,22804237428629;4,38622606777835;1,15334252833994e-05;0,00103178022585291
"ENSMUSG00000023393";28,9721997531508;2,05747653265685;0,707327675759267;2,90880252981518;0,00362815949564204;0,0380101478795523
"ENSMUSG00000027824";58,9250769874664;1,22541059014404;0,283007554410181;4,32995717269077;1,49138343911602e-05;0,00121896734681786
"ENSMUSG00000015852";136,937726736568;-1,25025905067487;0,399128590402796;-3,13247179164271;0,00173341083412917;0,0244206194049126
"ENSMUSG00000042784";56,5747126258617;1,46742882767843;0,417922613273412;3,51124533842444;0,000446012568123321;0,010354650736108
"ENSMUSG00000109293";85,7641351239511;1,99191320044501;0,452938969528557;4,39775187045244;1,09377920372396e-05;0,000988378662274194
"ENSMUSG00000027938";14,4889899594942;1,1736288522982;0,390152957762132;3,00812496470612;0,00262865023543508;0,0312919560960775
"ENSMUSG00000028141";10,4809642915412;2,29216689538953;0,74899735830714;3,06031372469752;0,00221105251795895;0,0284400802669457
"ENSMUSG00000028111";108,833142483219;-1,10939561979086;0,247862159473467;-4,47585715442626;7,61053579604629e-06;0,000782573025648622
"ENSMUSG00000093769";21,3464426953566;-2,37717118667283;0,593677206666881;-4,0041476411384;6,22414856789728e-05;0,00296966576471515
"ENSMUSG00000027848";376,136299593942;-1,02060038453894;0,32634844704913;-3,12733335723608;0,00176399789229346;0,0246959704921084
"ENSMUSG00000048458";138,48193375018;-1,25491368573071;0,351602121169832;-3,56913001990837;0,000358168646954116;0,00909605408573603
"ENSMUSG00000074340";430,468057958485;1,1933369825702;0,227543805810427;5,24442745571553;1,56768370947687e-07;4,0650720188348e-05
"ENSMUSG00000032854";3512,1839362591;-1,51186307063375;0,518205690223062;-2,91749608149415;0,00352854082258568;0,037445226807653
"ENSMUSG00000028017";98,8749610166114;1,13708216326382;0,262762647097676;4,32741173763995;1,50871771702945e-05;0,00122683720700694
"ENSMUSG00000028012";17,514187850826;2,47793569588731;0,526008761750111;4,71082589507224;2,4671493765266e-06;0,000361821611842737
"ENSMUSG00000019232";3691,03096444669;1,15203642574389;0,194939915184157;5,90970004606587;3,4273123486436e-09;2,45285890167725e-06
"ENSMUSG00000037994";139,676491381799;-1,01679060157223;0,337346131484819;-3,01408703605657;0,00257753849812038;0,0309905316745643
"ENSMUSG00000028195";159,365354596259;1,67800790337128;0,429611667059514;3,90587135320705;9,38864536489114e-05;0,00390654983415424
"ENSMUSG00000036832";19,785547086424;1,17194314759057;0,407674821965431;2,87470082636093;0,00404410492458597;0,0405805849379325
"ENSMUSG00000040728";18,3170409123284;-1,94242303736376;0,494348560452204;-3,92925800286933;8,52083790362647e-05;0,00369878464187468
"ENSMUSG00000023267";126,24573343516;1,61328993330325;0,393577561569739;4,09903940374251;4,14868407696878e-05;0,00233422187123036
"ENSMUSG00000073910";628,959242245685;-1,07537996959351;0,379215298699034;-2,83580323178625;0,00457105989359597;0,0437253210717489
"ENSMUSG00000038668";2035,80186319578;-1,00827096982962;0,23786803619893;-4,23878292326084;2,24734832662164e-05;0,00165604978585474
"ENSMUSG00000058046";22,9251633572118;1,13232802399664;0,378752581099131;2,98962457420265;0,00279320522744527;0,0323649245216334
"ENSMUSG00000043753";49,9983189956425;1,1458634889499;0,389566602120844;2,94138019715162;0,00326753209779116;0,0355612434876396
"ENSMUSG00000028551";34,7926307318328;-1,03133074742749;0,364800444740223;-2,82710934785704;0,00469702859147806;0,0442311766098555
"ENSMUSG00000028655";1222,73739604297;1,0171369115501;0,169518647885276;6,00014761938444;1,97138224809001e-09;1,67961767537269e-06
"ENSMUSG00000032643";27,6244058105586;-1,69436288287648;0,584948678319462;-2,89660092530567;0,0037722928279395;0,0387895765962607
"ENSMUSG00000028784";36,5275225626154;1,27707525231327;0,361341408109518;3,53426212344368;0,000408915328113829;0,00982055443035253
"ENSMUSG00000028862";198,418021910477;2,35148806640012;0,485314536511059;4,84528669449104;1,26428978997272e-06;0,000238112346549389
"ENSMUSG00000012123";32,010230605246;1,42812775376128;0,383489917418721;3,72402946959867;0,000196068023915479;0,00619398030142371
"ENSMUSG00000043085";24,7117654326315;2,26717591746733;0,574326643253195;3,94753742334715;7,89591785600556e-05;0,0035020832670317
"ENSMUSG00000023153";78,7671321491663;1,40884140873911;0,460793772381693;3,05742284982991;0,00223249101891168;0,0285925048749948
"ENSMUSG00000008307";151,944073684356;1,07353099496827;0,27770406622226;3,86573740014694;0,000110754056624637;0,0043551902881934
"ENSMUSG00000038276";35,7542944569782;1,52623729303964;0,501461295136436;3,04357945038288;0,00233781700350561;0,0294564942441707
"ENSMUSG00000049537";11,4336211296335;1,85370666872287;0,596286647878591;3,10875092594778;0,00187880031592049;0,0256999199177747
"ENSMUSG00000035540";10,6443797110829;-3,95588851247857;1,2476586972819;-3,17064957034861;0,00152098507276935;0,0226285986642388
"ENSMUSG00000043635";308,77424554089;1,05654425131515;0,231336040395687;4,56714072527565;4,94422096388278e-06;0,000578183016246998
"ENSMUSG00000029368";110,43766539561;-2,93916008520841;0,801321460478437;-3,66789138962228;0,000244559020684134;0,00713809135086544
"ENSMUSG00000082361";29,881094084721;-1,65373908395613;0,433368618576866;-3,81601023485923;0,000135626880902572;0,0049221828663465
"ENSMUSG00000005057";356,38724904015;1,27505502977837;0,269460902928835;4,73187395989358;2,22456532906774e-06;0,000346103677110262
"ENSMUSG00000029716";139,739032160862;1,42463173150309;0,314567469038513;4,52885905798694;5,93030383727235e-06;0,000659037243829049
"ENSMUSG00000036586";13,6148352054321;1,30682643915218;0,409335197835902;3,19255819206651;0,00141018527167943;0,0216879038569828
"ENSMUSG00000029641";51,8148341139985;1,4632429613798;0,33140484815503;4,41527325120876;1,00882476451033e-05;0,000925635522390713
"ENSMUSG00000071537";62,9255454552091;1,46857664101283;0,368929197800521;3,98064628597621;6,87281538446443e-05;0,00318571017769009
